DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA
2025-02-03;07:00;0,111;14;12,8;96;1015,3
2025-02-03;07:10;0,098;;;;
2025-02-03;07:20;0,082;;;;
2025-02-03;07:30;0,065;;;;
2025-02-03;07:40;0,044;;;;
2025-02-03;07:50;0,023;;;;
2025-02-03;08:00;0,001;14;13,1;94;1016,1
2025-02-03;08:10;-0,017;;;;
2025-02-03;08:20;-0,033;;;;
2025-02-03;08:30;-0,052;;;;
