DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-03;02:50;-0,228;;;;93;2,5
2025-02-03;03:00;-0,197;12;92;1015,3;94;2,7
2025-02-03;03:10;-0,229;;;;82;3,3
2025-02-03;03:20;-0,208;;;;82;4,1
2025-02-03;03:30;-0,205;;;;76;4,8
2025-02-03;03:40;-0,202;;;;83;4,6
2025-02-03;03:50;-0,179;;;;89;3,8
2025-02-03;04:00;-0,183;13,2;93;1015,3;77;4,8
2025-02-03;04:10;-0,181;;;;80;5
2025-02-03;04:20;-0,165;;;;85;4
2025-02-03;04:30;-0,163;;;;87;4,4
2025-02-03;04:40;-0,166;;;;84;4,4
2025-02-03;04:50;-0,169;;;;83;5,1
2025-02-03;05:00;-0,192;13,5;93;1015,1;86;4,5
2025-02-03;05:10;-0,183;;;;89;4,1
2025-02-03;05:20;-0,168;;;;94;3,5
2025-02-03;05:30;-0,178;;;;93;3
2025-02-03;05:40;-0,168;;;;105;2,7
2025-02-03;05:50;-0,165;;;;117;1,9
2025-02-03;06:00;-0,168;13,3;93;1015,6;128;1,5
2025-02-03;06:10;-0,166;;;;128;1,7
2025-02-03;06:20;-0,171;;;;122;1,8
2025-02-03;06:30;-0,173;;;;129;2,1
2025-02-03;06:40;-0,208;;;;127;1,8
2025-02-03;06:50;-0,217;;;;129;1,7
2025-02-03;07:00;-0,231;13,9;94;1015,9;116;2
2025-02-03;07:10;-0,228;;;;110;2,3
2025-02-03;07:20;-0,225;;;;119;2,3
2025-02-03;07:30;-0,218;;;;117;2,5
2025-02-03;07:40;-0,24;;;;116;2,3
2025-02-03;07:50;-0,237;;;;123;1,9
2025-02-03;08:00;-0,223;15,5;92;1016;146;2,1
2025-02-03;08:10;-0,253;;;;141;1,9
2025-02-03;08:20;-0,253;;;;149;1,9
2025-02-03;08:30;-0,273;;;;146;2,1
