cust_id,education,occupation,household_size,yrs_residence,affinity_card,bulk_pack_diskettes,flat_panel_monitor,home_theater_package,bookkeeping_application,printer_supplies,y_box_games,os_doc_set_kanji,comments
Bach.,Cleric.,9+,5,0,0,0,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                       
Assoc-A,Other,3,4,0,0,0,1,1,1,0,0,I am not going to waste my time filling up this three page form. Lousy idea.,                                                                                                                                                    
Bach.,Prof.,2,4,1,1,1,0,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,                       
10th,Crafts,3,6,1,0,0,1,0,1,0,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,                                                                                                               
Bach.,Exec.,3,3,0,0,0,0,1,1,0,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                          
Assoc-A,Crafts,3,6,1,1,1,1,1,1,0,0,Can I apply my discount to a purchase I made last month? Excellent program.  Thanks,                                                                                                                                            
Assoc-A,?,2,2,0,1,1,1,1,1,0,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                              
Bach.,?,9+,4,0,1,1,1,1,1,0,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                         
Assoc-V,Crafts,3,8,1,0,0,1,1,1,0,0,"A great idea.  Thank you!  Signed, happy in Texas",                                                                                                                                                                              
Masters,Prof.,2,6,1,0,0,1,1,1,0,0,I wanted to write you to let you know that I've purchased several items at your store recently and have been very satisfied with my purchases. Keep up  the good work.,                                                          
Bach.,Cleric.,2,5,1,1,0,1,1,1,0,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,                                                                                                           
HS-grad,Cleric.,1,2,0,1,1,0,1,1,1,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,                                                                                             
Bach.,Exec.,2,1,0,1,1,1,1,1,0,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                          
HS-grad,Crafts,9+,5,0,1,1,1,1,1,0,0,"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety",                                                                                
Masters,Protec.,2,5,0,0,0,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                   
Bach.,Cleric.,2,3,0,0,0,0,1,1,1,0,I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card,                                                                                                        
Bach.,Exec.,3,6,1,1,1,1,1,1,0,0,Does this discount work if you live in Australia?I've moved and I would like to purchase a few items as gifts but want the discount.  Have you ever considered offering free shipping?,                                          
7th-8th,TechSup,9+,4,0,1,1,1,0,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything",                                                                                                                              
PhD,Prof.,3,7,1,1,1,1,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                             
Bach.,Prof.,1,3,0,0,0,0,1,1,1,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,                                                                                                                                     
HS-grad,Handler,3,1,0,0,0,1,1,1,0,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,                                                                                                                     
Bach.,Sales,3,6,0,1,1,1,1,1,0,0,"Thank you, But please remove my name from your list.",                                                                                                                                                                            
7th-8th,Crafts,3,4,0,0,0,1,0,1,0,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,                                                                                                                           
Bach.,?,9+,2,0,0,0,1,1,1,0,0,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by.",                                                                
HS-grad,Sales,3,6,1,1,1,1,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                         
9th,?,9+,3,0,1,1,0,0,1,1,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,                                                                                                      
Masters,Exec.,3,7,1,0,0,1,1,1,0,0,"I don't like your new Affinity Card program.  Too little, too late.  I am very happy with your competitor's stores.",                                                                                                             
Profsc,Prof.,3,7,1,0,0,1,1,1,0,0,I run a small convenience store. Any chance that I would be eligible for larger discounts if I purchase a large quantity of items (bulk purchase)?,                                                                               
Bach.,Other,3,3,0,1,1,0,1,1,0,0,I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card,                                                                                                          
HS-grad,Crafts,3,5,0,1,1,1,1,1,0,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,                                                                                                                      
HS-grad,Exec.,1,6,0,1,1,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                    
Masters,Sales,3,7,1,1,1,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                        
Masters,Exec.,2,5,1,1,1,0,1,1,0,0,I love it. Will never shop at other shops again!,                                                                                                                                                                                
Bach.,Exec.,2,6,0,1,1,1,1,1,0,0,,                                                                                                                                                                                                                                  
HS-grad,Transp.,3,5,0,0,0,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                   
Bach.,Handler,1,2,0,0,0,0,1,1,1,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                        
Assoc-A,Sales,3,6,0,1,1,1,1,1,0,0,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by.",                                                             
Profsc,Prof.,3,5,1,1,1,1,1,1,0,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,                                                                                                                             
Assoc-V,Other,1,1,0,1,1,0,1,1,1,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                    
HS-grad,Cleric.,9+,5,0,1,0,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                  
11th,Machine,3,3,0,1,1,0,0,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                     
Bach.,Sales,3,9,0,0,0,1,1,1,0,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,                                                                                               
HS-grad,?,4-5,1,0,1,1,0,1,1,1,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,                                                                                                               
Bach.,Other,1,2,0,1,1,0,1,1,1,0,I am not going to waste my time filling up this three page form. Lousy idea.,                                                                                                                                                    
Bach.,Exec.,4-5,3,1,0,0,0,1,1,0,0,,                                                                                                                                                                                                                              
HS-grad,Crafts,3,5,1,1,1,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                   
Bach.,Machine,3,5,0,1,0,1,1,1,0,0,"A lousy idea.  I threw your card away. If you want to know what I buy, I'll shop elsewhere.",                                                                                                                                   
HS-grad,Machine,3,4,1,0,0,1,1,1,0,0,I run a small convenience store. Any chance that I would be eligible for larger discounts if I purchase a large quantity of items (bulk purchase)?,                                                                            
Profsc,Prof.,3,4,1,1,1,1,1,1,0,0,I am not going to waste my time filling up this three page form. Lousy idea.,                                                                                                                                                     
HS-grad,Crafts,3,4,0,1,1,1,1,1,0,0,The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?,         
1st-4th,Crafts,9+,6,0,1,1,1,0,1,0,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                    
HS-grad,Exec.,1,3,0,1,1,0,1,1,1,0,"Dear store manager, please do not send me any more Affinity cards. I do not shop at your store very often and I feel that your new card imposes an invasion on my privacy.",                                                      
Bach.,Handler,1,2,0,1,0,0,1,1,1,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",           
Bach.,Exec.,2,4,0,1,1,0,1,1,0,0,,                                                                                                                                                                                                                                
Bach.,Prof.,9+,4,0,1,1,1,1,1,0,0,,                                                                                                                                                                                                                               
Bach.,Prof.,1,1,0,1,1,0,1,1,1,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                      
HS-grad,Machine,2,4,0,0,0,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                      
Masters,Prof.,2,5,0,1,1,1,1,1,0,0,"A lousy idea.  I threw your card away. If you want to know what I buy, I'll shop elsewhere.",                                                                                                                                     
Bach.,Other,2,4,0,1,1,1,1,1,0,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                          
Assoc-V,Other,4-5,4,1,1,1,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                      
Masters,Exec.,3,8,1,0,0,1,1,1,0,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                      
Bach.,Other,1,1,0,0,0,0,1,1,1,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                     
Bach.,Other,3,3,1,1,1,0,1,1,1,0,Could you send an Affinity Card to my mother in France?  Let me know and I'll send you here address.,                                                                                                                              
HS-grad,Handler,6-8,2,0,0,0,0,1,1,1,0,I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card,                                                                                                      
11th,Handler,1,1,0,1,1,0,0,1,1,0,I love the discounts. But I mostly end upbuying  things I do not need.,                                                                                                                                                           
Bach.,Cleric.,2,4,0,0,0,0,1,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything",                                                                                                                               
HS-grad,Crafts,2,5,0,0,0,1,1,1,0,0,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by.",                                                            
Bach.,Exec.,3,5,1,0,0,1,1,1,0,0,Why didn't you start a program like this before? Everyone else has been offering discounts like this for years.,                                                                                                                 
Bach.,Crafts,3,6,0,1,1,1,1,1,0,0,I am not going to waste my time filling up this three page form. Lousy idea.,                                                                                                                                                   
Bach.,Cleric.,1,1,0,1,1,0,1,1,1,0,I love the new on-line documentation.,                                                                                                                                                                                         
HS-grad,Crafts,3,5,1,0,0,1,1,1,0,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                     
HS-grad,Crafts,3,5,0,1,1,1,1,1,0,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                         
Bach.,Exec.,3,6,1,1,1,1,1,1,0,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,                                                                                                                              
Bach.,Exec.,4-5,6,1,1,1,1,1,1,0,0,"I purchased a new computer recently, but the manuals weren't included.  Could you ship them to me directly?",                                                                                                                     
Bach.,Sales,2,9,1,0,0,1,1,1,0,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,                                                                                                                                   
Assoc-A,Exec.,2,5,0,1,1,1,1,1,0,0,"Thank you, But please remove my name from your list.",                                                                                                                                                                            
11th,Sales,2,1,0,1,1,0,0,1,1,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                        
11th,Handler,1,0,0,1,1,0,0,1,1,0,Great program.  Love the discount. Signed happy customer.,                                                                                                                                                                        
Bach.,?,1,2,0,0,0,0,1,1,1,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,                                                                                                                                
Bach.,?,3,3,0,0,0,0,1,1,1,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,                                                                                                                                  
HS-grad,Other,9+,3,0,1,1,0,1,1,0,0,I just purchased a computer from your store last month.  Why didn't you offer this discount then?,                                                                                                                              
10th,Machine,3,6,0,0,0,1,0,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                     
Bach.,Cleric.,1,1,0,1,1,0,1,1,1,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,                   
Bach.,TechSup,1,2,0,0,0,0,1,1,1,0,,                                                                                                                                                                                                                                
Bach.,?,1,0,0,0,0,0,1,1,1,0,I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card,                                                                                                              
Bach.,Crafts,3,5,0,0,0,1,1,1,0,0,Why didn't you start a program like this before? Everyone else has been offering discounts like this for years.,                                                                                                                
11th,Prof.,9+,3,0,1,1,1,0,1,0,0,The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?,            
HS-grad,Cleric.,3,7,1,1,0,1,1,1,0,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                    
Bach.,Protec.,3,5,1,1,1,1,1,1,0,0,Does this discount work if you live in Australia?I've moved and I would like to purchase a few items as gifts but want the discount.  Have you ever considered offering free shipping?,                                          
HS-grad,Machine,2,2,0,1,1,0,1,1,1,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                    
12th,House-s,9+,4,0,1,1,1,0,1,0,0,I love the discounts. But I mostly end upbuying  things I do not need.,                                                                                                                                                          
Bach.,Other,1,4,0,0,0,1,1,1,0,0,I love the new on-line documentation.,                                                                                                                                                                                           
Bach.,Crafts,3,6,0,1,1,1,1,1,0,0,"Dear store manager, please do not send me any more Affinity cards. I do not shop at your store very often and I feel that your new card imposes an invasion on my privacy.",                                                     
Masters,Prof.,1,7,0,1,1,1,1,1,0,0,"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety",                                                                                  
Bach.,Sales,2,4,1,1,1,0,1,1,1,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                        
Bach.,?,1,2,0,1,0,0,1,1,1,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                          
Bach.,Sales,3,6,1,1,1,1,1,1,0,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,                                                                                                                            
Bach.,Sales,3,5,0,0,0,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                     
Bach.,Cleric.,1,1,0,1,1,0,1,1,1,0,I love the discounts. But I mostly end upbuying  things I do not need.,                                                                                                                                                        
HS-grad,Transp.,1,4,0,1,1,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                      
Profsc,Prof.,3,5,1,1,1,0,1,1,0,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,                                                                                                
Bach.,Sales,3,2,0,1,1,0,1,1,1,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                        
Bach.,Exec.,3,6,0,0,0,1,1,1,0,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,                                                                                                 
12th,Other,1,1,0,1,1,0,0,1,1,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",                
Assoc-V,TechSup,3,3,0,0,0,0,1,1,0,0,I love the discounts. But I mostly end upbuying  things I do not need.,                                                                                                                                                        
Bach.,Sales,3,6,0,0,0,1,1,1,0,0,I love the discounts. But I mostly end upbuying  things I do not need.,                                                                                                                                                            
HS-grad,?,2,3,0,1,0,0,1,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything",                                                                                                                                     
Bach.,Exec.,2,4,0,1,1,0,1,1,1,0,I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card,                                                                                                          
PhD,TechSup,3,6,1,0,0,1,1,1,0,0,This Affinity Card is great.I am delighted that you sent me one as I 've only shopped at your store once. I was so pleased to be included in your program that I immediately purchased a new flat panel monitor.,                  
Bach.,TechSup,4-5,3,0,0,0,0,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                   
10th,Other,2,2,0,1,1,0,0,1,1,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                        
HS-grad,Machine,2,5,0,1,1,1,1,1,0,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",           
HS-grad,?,3,5,0,1,1,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                         
Bach.,TechSup,3,4,0,0,0,1,1,1,0,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                      
HS-grad,Prof.,3,5,1,1,0,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                        
HS-grad,Sales,2,6,0,1,1,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                       
Bach.,Cleric.,1,5,0,1,1,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                   
Bach.,Other,1,1,0,1,1,0,1,1,1,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,                                                                                                                                   
Bach.,?,3,2,0,0,0,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                             
Bach.,Farming,3,7,0,0,0,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                       
HS-grad,?,3,3,0,1,1,0,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                             
HS-grad,Cleric.,3,5,1,1,1,1,1,1,0,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,                                                                                                           
HS-grad,Cleric.,9+,3,0,0,0,0,1,1,0,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,                                                                                                                                
Bach.,Sales,3,2,0,0,0,0,1,1,0,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                          
11th,Handler,2,3,0,0,0,0,0,1,0,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,                                                                                                              
HS-grad,Sales,2,3,0,1,1,0,1,1,1,0,Great program.  Love the discount. Signed happy customer.,                                                                                                                                                                       
HS-grad,Sales,1,2,0,1,1,0,1,1,1,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,                                                                                                                            
HS-grad,TechSup,3,3,0,0,0,1,1,1,0,1,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by.",                                                           
Bach.,Other,1,2,0,1,1,0,1,1,1,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",             
Bach.,Exec.,3,7,1,1,1,1,1,1,0,0,My sister told me about your store and I was impressed. Now I use it for all my shopping here.,                                                                                                                                    
Bach.,Sales,2,4,0,0,0,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                     
HS-grad,Exec.,3,9,1,0,0,1,1,1,0,0,"Even with the new 10% card, your prices are still too expensive. I am tired of your gimmicks.",                                                                                                                                   
11th,Protec.,1,0,0,1,0,0,0,1,1,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                         
HS-grad,Transp.,3,4,0,1,1,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                     
9th,Machine,4-5,5,1,1,1,1,0,1,0,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,                                                                                                                            
Bach.,Handler,2,4,0,1,1,0,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                  
Bach.,Other,6-8,1,0,0,0,0,1,1,1,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                    
HS-grad,Other,3,4,0,1,1,1,1,1,0,0,"A lousy idea.  I threw your card away. If you want to know what I buy, I'll shop elsewhere.",                                                                                                                                     
HS-grad,Sales,9+,2,0,1,1,0,1,1,1,0,I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card,                                                                                                         
Bach.,Sales,2,4,0,1,0,0,1,1,1,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,                                                                                                 
HS-grad,Other,4-5,9,0,0,0,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                     
